epoch,step,train_loss_epoch,train_loss_step
779,7019,15.317986488342285,
780,7028,15.402438163757324,
781,7037,15.420825958251953,
782,7046,15.306148529052734,
783,7049,,17.667890548706055
783,7055,15.384425163269043,
784,7064,15.593762397766113,
785,7073,15.311788558959961,
786,7082,15.574719429016113,
787,7091,15.339678764343262,
788,7099,,16.551433563232422
788,7100,15.165692329406738,
789,7109,15.444846153259277,
790,7118,15.274025917053223,
791,7127,15.155766487121582,
792,7136,15.529802322387695,
793,7145,15.454833984375,
794,7149,,14.672013282775879
794,7154,15.167887687683105,
795,7163,15.427512168884277,
796,7172,15.482492446899414,
797,7181,15.211307525634766,
798,7190,15.372040748596191,
799,7199,,18.193134307861328
799,7199,15.426824569702148,
800,7208,15.247780799865723,
801,7217,15.487212181091309,
802,7226,15.410012245178223,
803,7235,15.493568420410156,
804,7244,15.431119918823242,
805,7249,,15.882689476013184
805,7253,15.459151268005371,
806,7262,15.462278366088867,
807,7271,15.396223068237305,
808,7280,15.27125358581543,
809,7289,15.305878639221191,
810,7298,15.428535461425781,
811,7299,,14.700960159301758
811,7307,15.316096305847168,
812,7316,15.270066261291504,
813,7325,15.488821029663086,
814,7334,15.259105682373047,
815,7343,15.204724311828613,
816,7349,,15.201495170593262
816,7352,15.302584648132324,
817,7361,15.467443466186523,
818,7370,15.615777969360352,
819,7379,15.41172981262207,
820,7388,15.485028266906738,
821,7397,15.263466835021973,
822,7399,,16.112770080566406
822,7406,15.331059455871582,
823,7415,15.46144962310791,
824,7424,15.436956405639648,
825,7433,15.403889656066895,
826,7442,15.629240036010742,
827,7449,,13.980982780456543
827,7451,15.541180610656738,
828,7460,15.055276870727539,
829,7469,15.471885681152344,
830,7478,15.228625297546387,
831,7487,15.325291633605957,
832,7496,15.460760116577148,
833,7499,,15.30703067779541
833,7505,15.406057357788086,
834,7514,15.352810859680176,
835,7523,15.396062850952148,
836,7532,15.654234886169434,
837,7541,15.466659545898438,
838,7549,,16.292461395263672
838,7550,15.368492126464844,
839,7559,15.59395980834961,
840,7568,15.282369613647461,
841,7577,15.421483039855957,
842,7586,15.473020553588867,
843,7595,15.33108901977539,
844,7599,,16.99420928955078
844,7604,15.359627723693848,
845,7613,15.321029663085938,
846,7622,15.511431694030762,
847,7631,15.255300521850586,
848,7640,15.449990272521973,
849,7649,,15.676440238952637
